moneyness,T,sigma,price,vega,delta,gamma,recovered_iv,price_finite,price_nonneg,iv_ill_posed,iv_roundtrip_ok,all_pass
0.3,0.0027397260273972603,0.01,540.7440500982989,0.0,0.9999643841959016,0.0,0.2,True,True,True,True,True
0.3,0.0027397260273972603,0.05,540.7440500982989,0.0,0.9999643841959016,0.0,0.2,True,True,True,True,True
0.3,0.0027397260273972603,0.2,540.7440500982989,0.0,0.9999643841959016,0.0,0.2,True,True,True,True,True
0.3,0.0027397260273972603,1.0,540.7440500982989,1.0958462171752442e-114,0.9999643841959016,6.702807639680881e-118,0.2,True,True,True,True,True
0.3,0.0027397260273972603,3.0,540.744050098299,1.5048011622737205e-12,0.9999643841958968,3.0680681798244133e-16,0.2,True,True,True,True,True
0.3,0.019178082191780823,0.01,540.7503383316395,0.0,0.9997507160079259,0.0,0.2,True,True,True,True,True
0.3,0.019178082191780823,0.05,540.7503383316395,0.0,0.9997507160079259,0.0,0.2,True,True,True,True,True
0.3,0.019178082191780823,0.2,540.7503383316395,0.0,0.9997507160079259,0.0,0.2,True,True,True,True,True
0.3,0.019178082191780823,1.0,540.7503383316395,8.668701002769888e-16,0.9997507160079259,7.574659707434818e-20,0.2,True,True,True,True,True
0.3,0.019178082191780823,3.0,540.8439342946577,0.34170495522523325,0.9988065050336911,9.952659017571222e-06,2.999999998632819,True,True,False,True,True
0.3,0.0821917808219178,0.01,540.7735969569585,0.0,0.9989320774848635,0.0,0.2,True,True,True,True,True
0.3,0.0821917808219178,0.05,540.7735969569585,0.0,0.9989320774848635,0.0,0.2,True,True,True,True,True
0.3,0.0821917808219178,0.2,540.7735969569585,3.338191551334663e-95,0.9989320774848635,3.4030407251059818e-99,0.2,True,True,True,True,True
0.3,0.0821917808219178,1.0,540.7739298297906,0.006805789895168889,0.9989253416844022,1.3876004311684637e-07,1.000000369787216,True,True,False,True,True
0.3,0.0821917808219178,3.0,553.1641600250942,16.451564410337532,0.9655622864490954,0.00011180773146006547,2.999999999796949,True,True,False,True,True
0.3,1.0,0.01,540.963068200727,0.0,0.9870841350202876,0.0,0.2,True,True,True,True,True
0.3,1.0,0.05,540.963068200727,3.361119796604979e-131,0.9870841350202876,1.1264924003931363e-135,0.2,True,True,True,True,True
0.3,1.0,0.2,540.9630682047757,8.309754815981692e-07,0.9870841348530413,6.962616788301428e-12,0.2,True,True,True,True,True
0.3,1.0,1.0,560.6331987231426,67.41582139558012,0.9463330360762972,0.00011297337652929154,0.9999999998849292,True,True,False,True,True
0.3,1.0,3.0,710.5697022417659,48.90236946023242,0.9595063088149415,2.7316366217102712e-05,2.999999999796949,True,True,False,True,True
0.3,5.0,0.01,538.8214998239346,0.0,0.9370674633774034,0.0,0.09961772451027014,True,True,True,True,True
0.3,5.0,0.05,538.8214998239346,1.5644446802208371e-30,0.9370674633774034,1.048659464553661e-35,0.09961772451027014,True,True,True,True,True
0.3,5.0,0.2,538.872753349899,3.0415235102211042,0.9365698414814756,5.096892296641644e-06,0.2,True,True,False,True,True
0.3,5.0,1.0,636.9052859978274,145.09241595582182,0.8977179255153217,4.862828873103755e-05,1.0000000000304454,True,True,False,True,True
0.3,5.0,3.0,723.5890203453663,1.15343185303167,0.9368919977810941,1.2885906041631194e-07,2.999999998632819,True,True,False,True,True
0.5,0.0027397260273972603,0.01,386.26509857568834,0.0,0.9999643841959016,0.0,0.2,True,True,True,True,True
0.5,0.0027397260273972603,0.05,386.26509857568834,0.0,0.9999643841959016,0.0,0.2,True,True,True,True,True
0.5,0.0027397260273972603,0.2,386.26509857568834,0.0,0.9999643841959016,0.0,0.2,True,True,True,True,True
0.5,0.0027397260273972603,1.0,386.26509857568834,9.273053434376252e-38,0.9999643841959016,5.671917503472703e-41,0.2,True,True,True,True,True
0.5,0.0027397260273972603,3.0,386.2651883857696,0.0006661554400986179,0.9999608772348455,1.3581929359327094e-07,2.99999422454834,True,True,False,True,True
0.5,0.019178082191780823,0.01,386.3856166555511,0.0,0.9997507160079259,0.0,0.2,True,True,True,True,True
0.5,0.019178082191780823,0.05,386.3856166555511,0.0,0.9997507160079259,0.0,0.2,True,True,True,True,True
0.5,0.019178082191780823,0.2,386.3856166555511,1.7302652897278708e-135,0.9997507160079259,7.559477924712682e-139,0.2,True,True,True,True,True
