greek,max_abs_diff,mean_abs_diff,pass_rate
delta,1.1190912385661278e-07,2.6052869670583014e-08,1.0
gamma,6.230275047258704e-08,3.0478313552042174e-09,1.0
vega,3.463593625241401e-07,7.895793076659164e-08,1.0
theta,1.4105481841997225e-06,5.837718430540409e-08,1.0
rho,1.7457466050530002e-07,2.872899016368019e-08,1.0
