scenario,S,sigma,r,price,pnl,delta,gamma,vega,theta
base,772.489990234375,0.13707662203578191,0.045,36.18368432346415,0.0,0.5832923435469137,0.00516687787601764,2.1132326690034473,-0.11440551694893217
equity_-5%,734.8152088432067,0.1570766220357819,0.045,21.96702688447874,-14.216657438985408,0.4006673450874057,0.0047129460707318735,1.9986203301057381,-0.10911359860857286
equity_-10%_vol+5,698.9778482222955,0.1870766220357819,0.045,15.35718248309982,-20.82650184036433,0.2845002154017418,0.003656200609140295,1.6708842500536998,-0.10118017552798203
equity_-20%_vol+15,632.4613114497927,0.2870766220357819,0.04,13.61670960534508,-22.56697471811907,0.20644057455996803,0.002216386212436243,1.2725685912813067,-0.10825499761995819
equity_+10%_vol-3,853.7334717115724,0.10707662203578192,0.045,94.99547596294065,58.811791639476496,0.9366443718604346,0.0017646568212126429,0.6886040032418406,-0.07859499036584496
rates_+100bps,772.489990234375,0.13707662203578191,0.055,38.28885515691343,2.1051708334492787,0.6031275226413362,0.005101758432870382,2.0865990736392463,-0.12620473187199407
vol_spike_only,772.489990234375,0.3370766220357819,0.045,78.710874114857,42.52718979139286,0.571214907637549,0.002114593082930075,2.126724165565833,-0.225383999965579
2020-style_crash,572.2746600598673,0.5370766220357819,0.034999999999999996,31.856983385842824,-4.326700937621325,0.2826887673909069,0.001550784004090906,1.3638499682802987,-0.2073788015780954
